Name,Price,Colors,Product Link
Regular-Fit Fine-Knit Polo Shirt,$ 34.99,"Navy blue, Light beige",https://www.hm.com/en_us/productpage.1262923001.html
Regular Fit Sweatshorts,$ 12.99,"Black, Gray melange, Light beige",https://www.hm.com/en_us/productpage.1224295001.html
5-Pocket Textured-Weave Pants,$ 99.00,Beige melange,https://www.hm.com/en_us/productpage.1290702001.html
5-Pocket Carpenter Pants,$ 89.99,Beige,https://www.hm.com/en_us/productpage.1272764001.html
Pima Cotton Resort Shirt,$ 54.99,"Beige, Black",https://www.hm.com/en_us/productpage.1272747001.html
5-pocket leather trousers,$ 219.00,Black,https://www.hm.com/en_us/productpage.1272769001.html
Loose Fit Hoodie,$ 24.99,"Black, Dark taupe, Navy blue, Light gray melange, Light beige, Brown, Pink, White, Green, Dark brown, Burgundy, Light beige, Forest green, Pistachio green, Black",https://www.hm.com/en_us/productpage.0970819001.html
Loose Fit T-shirt,$ 9.99,"White, Black, Light beige, Dark beige, Yellow, Light beige, Light sage green, Dark gray, Pink, Dark gray, Navy blue",https://www.hm.com/en_us/productpage.0608945001.html
Fairfax Baggy Jeans,$ 44.99,"Pale denim blue, Dark denim gray, Denim gray, Black, Pale denim blue, Denim blue, Dark denim gray, Dark denim blue, Dark gray, Denim blue, Dark denim blue",https://www.hm.com/en_us/productpage.1235448001.html
Loose Fit Printed T-shirt,$ 9.99,"Light blue/Wasted Potential, Light beige/Better Than Ever, White/Synthesis, White/Cologne, White/Hardware, White/New Haven, Black/Carbonara",https://www.hm.com/en_us/productpage.0967955108.html
Super Baggy Jeans,$ 44.99,"Black, Denim beige, Blue-gray",https://www.hm.com/en_us/productpage.1260177001.html
Oversized Fit T-shirt,$ 9.99,"Light beige, Brown, Black, Pink",https://www.hm.com/en_us/productpage.1074658040.html
Regular Fit Sweatshorts,$ 12.99,"Light beige, Gray melange, Black",https://www.hm.com/en_us/productpage.1224295003.html
Slim Jeans,$ 24.99,"Black, Pale denim blue",https://www.hm.com/en_us/productpage.1024256001.html
Slim Fit Easy-iron Shirt,$ 19.99,"White, Black, Light blue, Navy blue, Light blue, Light blue/striped, Dark beige",https://www.hm.com/en_us/productpage.1242812001.html
Fairfax Baggy Jeans,$ 44.99,"Dark denim gray, Pale denim blue, Denim gray, Black, Pale denim blue, Denim blue, Dark denim gray, Dark denim blue, Dark gray, Denim blue, Dark denim blue",https://www.hm.com/en_us/productpage.1235448011.html
Regular Fit Sweatpants,$ 19.99,"Dark blue, Black, Dark taupe, Cream, Light gray melange, Light gray melange, Beige, Black",https://www.hm.com/en_us/productpage.0970817039.html
3-pack Slim Fit T-shirts,$ 28.99,"Black, Light blue/light beige/white, Light blue/white, Beige/blue/brown",https://www.hm.com/en_us/productpage.0578630003.html
Loose Fit Sweatshirt,$ 14.99,"Taupe, Dark blue, Black, Brown, Light beige, Light gray melange, Pink, Yellow, Sage green, Dark green, Cream, Brown, Beige, Light gray melange, Light gray",https://www.hm.com/en_us/productpage.0970818079.html
Slim-Fit Suit Pants,$ 39.99,"Black, Navy blue, Beige, Navy blue, Dark gray",https://www.hm.com/en_us/productpage.1252892001.html
Fairfax Baggy Jeans,$ 44.99,"Denim gray, Pale denim blue, Dark denim gray, Black, Pale denim blue, Denim blue, Dark denim gray, Dark denim blue, Dark gray, Denim blue, Dark denim blue",https://www.hm.com/en_us/productpage.1235448003.html
Loose Fit Hooded Jacket,$ 29.99,"Black, Gray melange, Light beige, Dark taupe, Dark blue",https://www.hm.com/en_us/productpage.1011890001.html
Slim Fit Ribbed Tank Top,$ 9.99,"White, Black, Beige, Gray melange",https://www.hm.com/en_us/productpage.1227155001.html
Loose Fit Hoodie,$ 24.99,"Light gray melange, Black, Dark taupe, Navy blue, Light beige, Brown, Pink, White, Green, Dark brown, Burgundy, Light beige, Forest green, Pistachio green, Black",https://www.hm.com/en_us/productpage.0970819007.html
Slim-Fit Jacket,$ 79.99,"Black, Navy blue, Beige, Navy blue, Dark gray",https://www.hm.com/en_us/productpage.1250484001.html
Loose Fit T-shirt,$ 9.99,"Light beige, White, Black, Dark beige, Yellow, Light beige, Light sage green, Dark gray, Pink, Dark gray, Navy blue",https://www.hm.com/en_us/productpage.0608945111.html
Loose Fit T-shirt,$ 17.99,"White/Keith Haring, Black/Twin Peaks, White/Vincent van Gogh, Black/Kodak, White/Red Hot Chili Peppers, White/Discovery Channel",https://www.hm.com/en_us/productpage.0972640124.html
Loose Fit Hoodie,$ 24.99,"Light beige, Black, Dark taupe, Navy blue, Light gray melange, Brown, Pink, White, Green, Dark brown, Burgundy, Light beige, Forest green, Pistachio green, Black",https://www.hm.com/en_us/productpage.0970819060.html
Slim-Fit Cargo Pants,$ 39.99,"Black, White, Dark gray, Light beige, Khaki green",https://www.hm.com/en_us/productpage.1253393001.html
Collins Super Baggy Jeans,$ 44.99,"Denim gray, Black, Dark denim blue, Denim blue",https://www.hm.com/en_us/productpage.1252606004.html
Loose Fit Printed T-shirt,$ 12.99,"Beige/stars, Black/New York, Khaki green/New York, Black, White/New York, Black/Soho LDN, White/stars, White/Los Angeles, White/Soho, Dark gray",https://www.hm.com/en_us/productpage.1227157020.html
Slim-Fit Jacket,$ 79.99,"Navy blue, Black, Beige, Navy blue, Dark gray",https://www.hm.com/en_us/productpage.1250484004.html
Houston Loose Jeans,$ 39.99,"Light denim blue, Dark denim blue, Black, Dark denim blue, Denim blue-white, Pale denim blue, Dark denim blue, Denim gray, Dark denim gray, Denim gray",https://www.hm.com/en_us/productpage.0979945001.html
Loose Fit T-shirt,$ 17.99,"Black, White, Beige, Dark beige, Black",https://www.hm.com/en_us/productpage.1232194005.html
Loose Fit T-shirt,$ 17.99,"White, Black, Beige, Dark beige, Black",https://www.hm.com/en_us/productpage.1232194015.html
Ribbed Henley Tank Top,$ 24.99,"Black, Cream",https://www.hm.com/en_us/productpage.1277883001.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Light beige, Sage green, Green/white striped, Beige/white striped, Navy blue, White, Black, Light brown",https://www.hm.com/en_us/productpage.1256946001.html
Slim Fit Pima Cotton T-shirt,$ 17.99,"White, Black, Gray melange, Navy blue, Light gray melange, Beige, Dark khaki green",https://www.hm.com/en_us/productpage.1101074001.html
2-Pack Sports Shorts with DryMove™,$ 29.99,"Dark gray/black, Black",https://www.hm.com/en_us/productpage.1200113008.html
Loose Cargo Jeans,$ 44.99,"Light denim blue, Black, Pale denim gray, Beige",https://www.hm.com/en_us/productpage.1263547002.html
Baggy Jeans,$ 44.99,"Black, Denim blue, Gray-blue, Pale denim blue, Denim beige, Gray, Vintage black, Light denim blue",https://www.hm.com/en_us/productpage.1235413002.html
5-pack Regular Fit T-shirts,$ 39.99,"Black, White/beige/gray, White, Light blue/gray/brown, Cream/light gray/forest green, Pink/Light blue/Brown",https://www.hm.com/en_us/productpage.1216851001.html
Loose Jeans,$ 34.99,"Pale denim blue, Black, Dark denim blue, Dark denim blue",https://www.hm.com/en_us/productpage.1096385010.html
COOLMAX® Shorts,$ 24.99,"Black, Gray melange, Forest green, Brown, Light beige",https://www.hm.com/en_us/productpage.0974629006.html
Relaxed Fit Cargo Pants,$ 39.99,"Light beige, Black, Khaki green",https://www.hm.com/en_us/productpage.1228206003.html
Slim Fit Fine-Knit Sweater,$ 24.99,"Dark beige, Dark gray, Black, Taupe, Navy blue, White, Beige",https://www.hm.com/en_us/productpage.1232260007.html
Slim Fit Linen Jacket,$ 99.00,"Light beige, Dark blue",https://www.hm.com/en_us/productpage.0783354005.html
Regular-Fit Hole-Knit Polo Shirt,$ 34.99,"Light blue, White, Black",https://www.hm.com/en_us/productpage.1259901002.html
Ribbed Linen-Blend Henley Shirt,$ 39.99,"Black, Cream",https://www.hm.com/en_us/productpage.1277891002.html
Slim-Fit Fine-Knit T-Shirt,$ 24.99,"Black, White, Dark beige, Sage green",https://www.hm.com/en_us/productpage.1251427002.html
5-pack Socks,$ 12.99,"Black, Gray melange, Navy blue, Navy blue/gray melange, Light gray/dark gray, Black/gray/blue",https://www.hm.com/en_us/productpage.1007334001.html
Fairfax Baggy Jeans,$ 44.99,"Black, Pale denim blue, Dark denim gray, Denim gray, Pale denim blue, Denim blue, Dark denim gray, Dark denim blue, Dark gray, Denim blue, Dark denim blue",https://www.hm.com/en_us/productpage.1235448014.html
Slim-Fit Sports Joggers with DryMove™,$ 39.99,"Black, Dark blue, Dark gray, Light gray melange",https://www.hm.com/en_us/productpage.1235999001.html
Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Cream, Navy blue, Dark beige",https://www.hm.com/en_us/productpage.1285783001.html
Skinny Fit Single-Breasted Jacket,$ 74.99,"Dark blue, Black, Navy blue, Dark gray, Dark blue",https://www.hm.com/en_us/productpage.0713995046.html
Slim-Fit Jacket,$ 79.99,"Navy blue, Black, Navy blue, Beige, Dark gray",https://www.hm.com/en_us/productpage.1250484003.html
Regular Fit Half-Zip Sweatshirt,$ 34.99,"Black, Light beige, Cream, Navy blue",https://www.hm.com/en_us/productpage.1241739009.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Black, Sage green, Green/white striped, Beige/white striped, Navy blue, Light beige, White, Light brown",https://www.hm.com/en_us/productpage.1256946003.html
10-pack Short Cotton Boxer Shorts,$ 44.99,Black,https://www.hm.com/en_us/productpage.1129812001.html
Swim Shorts,$ 17.99,"Forest green, Navy blue, Green, Light blue, White, Light blue",https://www.hm.com/en_us/productpage.1265997006.html
Seersucker Swim Shorts,$ 24.99,"Green/striped, Light blue/striped, Navy blue/striped",https://www.hm.com/en_us/productpage.1266008003.html
Swim shorts,$ 17.99,"Black, Light beige, Light blue",https://www.hm.com/en_us/productpage.1266014003.html
5-pack Mid-Length Boxer Briefs with Lycra®,$ 29.99,"Black, Light blue/navy blue, Navy blue, White, Dark red/black, Gray melange, Gray/black, Light blue/gray melange, Sage green/gray melange",https://www.hm.com/en_us/productpage.1070271001.html
Oversized Fit Cotton T-shirt,$ 17.99,"Light gray melange, Dark beige, White, Black, Dark green, White, Light pink",https://www.hm.com/en_us/productpage.1035207036.html
Slim-Fit Fine-Knit T-Shirt,$ 24.99,"White, Black, Dark beige, Sage green",https://www.hm.com/en_us/productpage.1251427001.html
Ribbed Linen-Blend Henley Shirt,$ 39.99,"Cream, Black",https://www.hm.com/en_us/productpage.1277891001.html
2-pack Slim Fit Ribbed Tank Tops,$ 19.99,"Black/white, White, Gray melange/black",https://www.hm.com/en_us/productpage.1216838001.html
Relaxed Fit Short-sleeved Shirt,$ 17.99,"Black, White, Beige",https://www.hm.com/en_us/productpage.1028144001.html
Loose Twisted Jeans,$ 99.00,Denim blue,https://www.hm.com/en_us/productpage.1272770001.html
